dataset,features,duration,gamma,epochs,nmi,ari,acc,testAcc,nmi_test,ari_test,ami,ami_test,timesteps
physionet,40,5,0,200,0.00449,0.03543,0.24267,0.19444,0.02545,0.09557,0.004,0.0233,128
physionet,40,5,0.5,200,0.53268,0.70105,0.92978,0.8966,0.34607,0.53702,0.5325,0.34493,128
physionet,40,5,1,200,0.49132,0.66651,0.91975,0.90586,0.40021,0.59123,0.49113,0.39923,128
physionet,40,5,3,200,0.44506,0.62162,0.91011,0.90278,0.3764,0.56907,0.44484,0.37534,128
physionet,40,5,5,200,0.47904,0.65491,0.91628,0.87963,0.32274,0.50612,0.47885,0.32167,128
physionet,40,5,7,200,0.46058,0.63795,0.91358,0.88889,0.32728,0.52002,0.46037,0.32616,128
physionet,40,5,9,200,0.3377,0.50941,0.8831,0.87963,0.27688,0.46285,0.33743,0.27559,128
physionet,40,5,12,200,0.50258,0.67619,0.92207,0.90432,0.40538,0.59212,0.5024,0.40442,128
physionet,40,5,0,200,0.00011,0.00507,0.33179,0.36574,0.0004,-0.00961,-0.00027,-0.00104,64
physionet,40,5,0.5,200,0.52995,0.7015,0.93017,0.89815,0.39206,0.57724,0.52977,0.39111,64
physionet,40,5,1,200,0.51324,0.68151,0.92284,0.89815,0.40102,0.58353,0.51305,0.4001,64
physionet,40,5,3,200,0.48941,0.64224,0.91011,0.87037,0.35002,0.50727,0.48923,0.34908,64
physionet,40,5,5,200,0.4328,0.5884,0.90664,0.89352,0.36663,0.53272,0.43256,0.36554,64
physionet,40,5,7,200,0.47921,0.64776,0.91898,0.89506,0.37092,0.55131,0.479,0.36988,64
physionet,40,5,9,200,0.46186,0.6384,0.91551,0.8966,0.37685,0.55478,0.46165,0.37582,64
physionet,40,5,12,200,0.51847,0.68033,0.92708,0.90123,0.39612,0.57175,0.51828,0.39511,64
physionet,40,5,0,200,0.00324,-0.01153,0.21412,0.21759,0.00018,0.00307,0.00254,-0.00292,256
physionet,40,5,0.5,200,0.34717,0.53164,0.88735,0.8642,0.27514,0.45123,0.34691,0.27398,256
physionet,40,5,1,200,0,0,0.7963,0.78858,0,0,0,0,256
physionet,40,5,3,200,0.50768,0.68307,0.92515,0.88272,0.34163,0.52324,0.50749,0.3406,256
physionet,40,5,5,200,0,0,0.7963,0.78858,0,0,0,0,256
physionet,40,5,7,200,0.44165,0.62335,0.90934,0.87037,0.31499,0.49332,0.44144,0.31396,256
physionet,40,5,9,200,0.39154,0.5745,0.89931,0.88426,0.34754,0.52939,0.3913,0.34653,256
physionet,40,5,12,200,0.44077,0.62185,0.90856,0.88735,0.36201,0.5443,0.44056,0.36102,256
